Semana,Avion_ID,Motor_asignado,Ciclos_acumulados,Umbral_maximo,Leased,Bought,Swap
15,26,EC-9080-27,3666.1500000000005,15500,,,0
15,27,EC-9529-73,3974.15,15500,,,0
15,28,EC-4714-18,6426.150000000001,15500,,,0
15,29,EC-3007-30,10953.15,15500,,,0
15,30,,0.0,15500,lease_13,,0
16,1,,0.0,14500,lease_14,,0
16,2,,0.0,14500,lease_14,,0
16,3,,0.0,14500,lease_14,,0
16,4,EC-7175-45,8378.0,14500,,,0
16,5,EC-9535-20,10367.999999999998,14500,,,0
16,6,EC-6116-65,1292.0,14500,,,0
16,7,EC-2872-44,13846.0,14500,,,0
16,8,EC-6826-38,11434.0,14500,,,0
16,9,EC-9678-33,9289.0,14500,,,0
16,10,EC-6324-10,7457.0,14500,,,0
16,11,EC-8617-67,10685.0,14500,,,0
16,12,EC-5469-79,12439.999999999998,14500,,,0
16,13,EC-8335-93,10572.8,14500,,,0
16,14,EC-1648-21,14241.800000000001,14500,,,0
16,15,EC-1251-58,7495.8,14500,,,0
16,16,EC-6100-57,2324.0,14500,,,0
16,17,EC-7599-49,8128.0,14500,,,0
16,18,EC-4413-71,14260.999999999998,14500,,,0
16,19,EC-5767-40,2561.0,14500,,,0
16,20,EC-1620-18,1703.0,14500,,,0
16,21,EC-3695-90,13377.999999999998,14500,,,0
16,22,EC-3089-36,391.56,15500,,,0
16,23,EC-7040-90,11093.56,15500,,,0
16,24,EC-9515-75,11679.56,15500,,,0
16,25,EC-5704-41,2947.5600000000004,15500,,,0
16,26,EC-9080-27,3677.560000000001,15500,,,0
16,27,EC-9529-73,3985.56,15500,,,0
16,28,EC-4714-18,6437.56,15500,,,0
16,29,EC-3007-30,10964.56,15500,,,0
16,30,,0.0,15500,lease_14,,0
17,1,,0.0,14500,lease_15,,0
17,2,,0.0,14500,lease_15,,0
17,3,,0.0,14500,lease_15,,0
17,4,EC-7175-45,8399.0,14500,,,0
17,5,EC-9535-20,10388.999999999998,14500,,,0
17,6,EC-6116-65,1313.0,14500,,,0
17,7,EC-2872-44,13867.0,14500,,,0
17,8,EC-6826-38,11455.0,14500,,,0
17,9,EC-9678-33,9310.0,14500,,,0
17,10,EC-6324-10,7478.0,14500,,,0
17,11,EC-8617-67,10706.0,14500,,,0
17,12,EC-5469-79,12460.999999999998,14500,,,0
17,13,EC-8335-93,10594.849999999999,14500,,,0
17,14,EC-1648-21,14263.85,14500,,,0
17,15,EC-1251-58,7517.85,14500,,,0
17,16,EC-6100-57,2345.0,14500,,,0
17,17,EC-7599-49,8149.0,14500,,,0
17,18,EC-4413-71,14281.999999999998,14500,,,0
17,19,EC-5767-40,2582.0,14500,,,0
17,20,EC-1620-18,1724.0,14500,,,0
17,21,EC-3695-90,13398.999999999998,14500,,,0
17,22,EC-3089-36,402.97,15500,,,0
17,23,EC-7040-90,11104.97,15500,,,0
17,24,EC-9515-75,11690.97,15500,,,0
17,25,EC-5704-41,2958.9700000000003,15500,,,0
17,26,EC-9080-27,3688.9700000000007,15500,,,0
17,27,EC-9529-73,3996.9700000000003,15500,,,0
17,28,EC-4714-18,6448.97,15500,,,0
17,29,EC-3007-30,10975.97,15500,,,0
17,30,,0.0,15500,lease_15,,0
18,1,,0.0,14500,lease_16,,0
18,2,,0.0,14500,lease_16,,0
18,3,,0.0,14500,lease_16,,0
18,4,EC-7175-45,8420.0,14500,,,0
18,5,EC-9535-20,10409.999999999998,14500,,,0
18,6,EC-6116-65,1334.0,14500,,,0
18,7,EC-2872-44,13888.0,14500,,,0
18,8,EC-6826-38,11476.0,14500,,,0
18,9,EC-9678-33,9331.0,14500,,,0
18,10,EC-6324-10,7499.0,14500,,,0
18,11,EC-8617-67,10727.0,14500,,,0
18,12,EC-5469-79,12481.999999999998,14500,,,0
18,13,EC-8335-93,10616.9,14500,,,0
18,14,EC-1648-21,14285.9,14500,,,0
18,15,EC-1251-58,7539.900000000001,14500,,,0
18,16,EC-6100-57,2366.0,14500,,,0
18,17,EC-7599-49,8170.0,14500,,,0
18,18,EC-4413-71,14302.999999999998,14500,,,0
18,19,EC-5767-40,2603.0,14500,,,0
18,20,EC-1620-18,1745.0,14500,,,0
18,21,EC-3695-90,13419.999999999998,14500,,,0
18,22,EC-3089-36,414.38,15500,,,0
18,23,EC-7040-90,11116.380000000001,15500,,,0
18,24,EC-9515-75,11702.380000000001,15500,,,0
18,25,EC-5704-41,2970.38,15500,,,0
18,26,EC-9080-27,3700.3800000000006,15500,,,0
18,27,EC-9529-73,4008.38,15500,,,0
18,28,EC-4714-18,6460.38,15500,,,0
18,29,EC-3007-30,10987.380000000001,15500,,,0
18,30,,0.0,15500,lease_16,,0
19,1,,0.0,14500,lease_17,,0
19,2,,0.0,14500,lease_17,,0
19,3,,0.0,14500,lease_17,,0
19,4,EC-7175-45,8441.0,14500,,,0
19,5,EC-9535-20,10431.0,14500,,,0
19,6,EC-6116-65,1355.0,14500,,,0
19,7,EC-2872-44,13909.0,14500,,,0
19,8,EC-6826-38,11497.0,14500,,,0
19,9,EC-9678-33,9352.0,14500,,,0
19,10,EC-6324-10,7520.0,14500,,,0
19,11,EC-8617-67,10748.0,14500,,,0
19,12,EC-5469-79,12503.0,14500,,,0
19,13,EC-8335-93,10638.949999999999,14500,,,0
19,14,EC-1648-21,14307.95,14500,,,0
19,15,EC-1251-58,7561.95,14500,,,0
19,16,EC-6100-57,2387.0,14500,,,0
19,17,EC-7599-49,8191.0,14500,,,0
19,18,EC-4413-71,14324.0,14500,,,0
19,19,EC-5767-40,2624.0,14500,,,0
19,20,EC-1620-18,1766.0,14500,,,0
19,21,EC-3695-90,13441.0,14500,,,0
